Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 8192 strings array; 1460.395 sort μs; 27937.461 rand gen μs; 6.535 overhead μs; 29404.391 total μs; 34224.000 swaps; 144486.500 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 10 iteration; 8192 strings array; 1413.012 sort μs; 55180.441 rand gen μs; 17.996 overhead μs; 56611.449 total μs; 34351.500 swaps; 141806.600 compares
Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 16384 strings array; 2573.524 sort μs; 855.368 rand gen μs; 11.289 overhead μs; 3440.181 total μs; 75890.800 swaps; 293173.500 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 16384 strings array; 2871.303 sort μs; 927.953 rand gen μs; 11.485 overhead μs; 3810.741 total μs; 72477.200 swaps; 302928.900 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 16384 strings array; 2636.011 sort μs; 1017.139 rand gen μs; 10.647 overhead μs; 3663.797 total μs; 72302.900 swaps; 309237.300 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 16384 strings array; 3116.309 sort μs; 1846.923 rand gen μs; 20.220 overhead μs; 4983.453 total μs; 72050.400 swaps; 312101.000 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 16384 strings array; 3043.823 sort μs; 3593.824 rand gen μs; 13.840 overhead μs; 6651.487 total μs; 72155.200 swaps; 313963.100 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 16384 strings array; 3076.356 sort μs; 7113.439 rand gen μs; 11.019 overhead μs; 10200.814 total μs; 72084.800 swaps; 312019.600 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 16384 strings array; 3037.134 sort μs; 13983.758 rand gen μs; 11.212 overhead μs; 17032.104 total μs; 72212.900 swaps; 313869.000 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 16384 strings array; 3013.781 sort μs; 27500.710 rand gen μs; 11.014 overhead μs; 30525.505 total μs; 72285.700 swaps; 310484.000 compares
Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 16384 strings array; 3017.240 sort μs; 54446.747 rand gen μs; 11.549 overhead μs; 57475.536 total μs; 72061.600 swaps; 314387.200 compares
