Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 8192 strings array; 2951.160 sort μs; 6942.193 rand gen μs; 1.537 overhead μs; 9894.890 total μs; 34163.900 swaps; 146119.600 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 8192 strings array; 3460.113 sort μs; 13850.579 rand gen μs; 1.617 overhead μs; 17312.310 total μs; 34221.500 swaps; 144547.900 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 8192 strings array; 5166.663 sort μs; 27513.915 rand gen μs; 2.190 overhead μs; 32682.769 total μs; 34240.000 swaps; 142727.800 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 8192 strings array; 8990.717 sort μs; 54429.696 rand gen μs; 14.749 overhead μs; 63435.163 total μs; 34149.600 swaps; 146202.400 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 16384 strings array; 2921.974 sort μs; 833.012 rand gen μs; 3.821 overhead μs; 3758.807 total μs; 76062.700 swaps; 290365.100 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 16384 strings array; 3119.798 sort μs; 893.218 rand gen μs; 2.217 overhead μs; 4015.233 total μs; 72143.800 swaps; 311202.300 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 16384 strings array; 3285.221 sort μs; 996.509 rand gen μs; 4.117 overhead μs; 4285.847 total μs; 72109.000 swaps; 314285.900 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 16384 strings array; 3597.152 sort μs; 1791.355 rand gen μs; 2.850 overhead μs; 5391.358 total μs; 72322.900 swaps; 310021.600 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 16384 strings array; 3762.108 sort μs; 3507.113 rand gen μs; 3.143 overhead μs; 7272.364 total μs; 72355.600 swaps; 309362.100 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 16384 strings array; 3762.899 sort μs; 7005.645 rand gen μs; 3.074 overhead μs; 10771.617 total μs; 72189.200 swaps; 313346.700 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 16384 strings array; 6346.040 sort μs; 13816.413 rand gen μs; 2.155 overhead μs; 20164.608 total μs; 72165.500 swaps; 314980.100 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 16384 strings array; 7655.823 sort μs; 27568.866 rand gen μs; 2.703 overhead μs; 35227.392 total μs; 72395.500 swaps; 304952.300 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 16384 strings array; 12151.709 sort μs; 54515.326 rand gen μs; 3.724 overhead μs; 66670.759 total μs; 72340.600 swaps; 308389.800 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 16384 strings array; 18089.253 sort μs; 109582.450 rand gen μs; 17.891 overhead μs; 127689.593 total μs; 72129.000 swaps; 312653.400 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 32768 strings array; 5983.586 sort μs; 1661.913 rand gen μs; 3.643 overhead μs; 7649.142 total μs; 163864.200 swaps; 613025.800 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 32768 strings array; 6601.024 sort μs; 1780.773 rand gen μs; 2.320 overhead μs; 8384.117 total μs; 151969.300 swaps; 664543.200 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 32768 strings array; 6931.080 sort μs; 1998.512 rand gen μs; 2.432 overhead μs; 8932.024 total μs; 151885.600 swaps; 668330.300 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 32768 strings array; 7648.670 sort μs; 3589.428 rand gen μs; 2.460 overhead μs; 11240.557 total μs; 151922.600 swaps; 671333.000 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 32768 strings array; 7960.520 sort μs; 6983.859 rand gen μs; 2.382 overhead μs; 14946.761 total μs; 151567.600 swaps; 675218.900 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 32768 strings array; 7989.181 sort μs; 13973.479 rand gen μs; 2.072 overhead μs; 21964.733 total μs; 152063.800 swaps; 665441.100 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 32768 strings array; 13740.655 sort μs; 27723.998 rand gen μs; 2.558 overhead μs; 41467.211 total μs; 151994.300 swaps; 665925.200 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 32768 strings array; 18251.416 sort μs; 54961.719 rand gen μs; 3.570 overhead μs; 73216.705 total μs; 151692.800 swaps; 675421.600 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 32768 strings array; 28298.035 sort μs; 108898.517 rand gen μs; 3.864 overhead μs; 137200.416 total μs; 151130.700 swaps; 684953.000 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 32768 strings array; 40858.804 sort μs; 219035.489 rand gen μs; 16.766 overhead μs; 259911.059 total μs; 151955.600 swaps; 670696.500 compares
