Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 524288 strings array; 135920.849 sort μs; 32776.841 rand gen μs; 844.682 overhead μs; 169542.372 total μs; 9630129.000 swaps; 9298621.000 compares                                        
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 1048576 strings array; 295043.770 sort μs; 65200.843 rand gen μs; 2287.976 overhead μs; 362532.589 total μs; 20308997.000 swaps; 19645411.000 compares                                    
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 2097152 strings array; 628018.902 sort μs; 131365.841 rand gen μs; 5023.254 overhead μs; 764407.997 total μs; 42714344.000 swaps; 41388705.000 compares                                   
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 4194304 strings array; 1343113.726 sort μs; 260464.965 rand gen μs; 10518.083 overhead μs; 1614096.774 total μs; 89623049.000 swaps; 86970051.000 compares                                
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 8388608 strings array; 2843196.795 sort μs; 520732.215 rand gen μs; 20682.366 overhead μs; 3384611.376 total μs; 187632963.000 swaps; 182330346.000 compares                              
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 16777216 strings array; 6037762.045 sort μs; 1041795.508 rand gen μs; 41185.177 overhead μs; 7120742.730 total μs; 392044105.000 swaps; 381435729.000 compares                            
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 33554432 strings array; 12733335.372 sort μs; 2084588.902 rand gen μs; 91168.849 overhead μs; 14909093.123 total μs; 817643983.000 swaps; 796432725.000 compares                          
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 67108864 strings array; 26805056.165 sort μs; 4167489.876 rand gen μs; 183355.801 overhead μs; 31155901.842 total μs; 1702391912.000 swaps; 1659971862.000 compares                       
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 134217728 strings array; 56367838.433 sort μs; 8334414.506 rand gen μs; 364787.672 overhead μs; 65067040.611 total μs; 3539027084.000 swaps; 3454164474.000 compares                      
Merge Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 1 iteration; 268435456 strings array; 118280337.407 sort μs; 16668625.996 rand gen μs; 731015.884 overhead μs; 135679979.287 total μs; 7346444012.000 swaps; 7176758812.000 compares                   
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 16 strings array; 3.064 sort μs; 2.340 rand gen μs; 30.082 overhead μs; 35.486 total μs; 33.000 swaps; 78.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 32 strings array; 2.498 sort μs; 2.292 rand gen μs; 6.204 overhead μs; 10.994 total μs; 69.000 swaps; 194.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 64 strings array; 5.103 sort μs; 4.262 rand gen μs; 5.563 overhead μs; 14.928 total μs; 153.000 swaps; 488.000 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 1 iteration; 128 strings array; 11.574 sort μs; 8.273 rand gen μs; 5.592 overhead μs; 25.439 total μs; 357.000 swaps; 1136.000 compares
